Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
C. I. D.,01 Jan 1956,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Mother India,14 Feb 1957,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Do Aankhen Barah Haath,01 Jan 1957,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Naya Daur,01 Jan 1957,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Pyaasa,01 Jan 1957,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Chalti Ka Naam Gaadi,01 Jan 1958,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Madhumati,01 Jan 1958,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Navrang,01 Jan 1959,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Anari,01 Jan 1959,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Paigham,01 Jan 1959,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Mughal-E-Azam,05 Aug 1960,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.50 Cr
Chaudhvin Ka Chand,01 Jan 1960,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Dil Apna Aur Preet Parai,01 Jan 1960,0 Cr N.A,0 Cr N.A,0.15 Cr,0.02 Cr
Kohinoor,01 Jan 1960,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Barsaat Ki Raat,01 Jan 1960,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Junglee,01 Jan 1961,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Ganga Jamuna,01 Jan 1961,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Gharana,01 Jan 1961,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Ek Musafir Ek Hasina,01 Jan 1962,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Bees Saal Baad,01 Jan 1962,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Mere Mehboob,01 Jan 1963,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Gumrah,01 Jan 1963,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Taj Mahal,01 Jan 1963,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Sangam,18 Jun 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Rajkumar,03 Jan 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Ayee Milan Ki Bela,01 Jan 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Phir Wohi Dil Laya Hoon,01 Jan 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Dosti,01 Jan 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Kashmir Ki Kali,01 Jan 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Ziddi,01 Jan 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Guide,09 Feb 1965,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Waqt,01 Jan 1965,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Himalay Ki God Mein,01 Jan 1965,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Jab Jab Phool Khile,01 Jan 1965,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Arzoo,01 Jan 1965,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Jaanwar,01 Jan 1965,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Khandan,30 Nov 1964,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Mera Saaya,01 Jan 1966,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Do Badan,01 Jan 1966,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Love In Tokyo,01 Jan 1966,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Phool Aur Patthar,01 Jan 1966,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Suraj,01 Jan 1966,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Teesri Manzil,01 Jan 1966,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Upkar,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Jewel Thief,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
An Evening In Paris,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Shagird,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Farz,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Hamraaz,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Milan,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Ram Aur Shyam,01 Jan 1967,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Do Kaliyan,01 Jan 1968,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Aankhen,01 Jan 1968,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Kanyadaan,01 Jan 1968,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Neel Kamal,01 Jan 1968,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Jeene Ki Raah,01 Jan 1969,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Do Raaste,01 Jan 1969,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Ek Phool Do Mali,01 Jan 1969,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Prince,01 Jan 1969,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Aradhana,01 Jan 1969,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Intaquam,01 Jan 1969,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Jeevan Mrityu,21 Apr 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
The Train,10 Apr 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Khilona,08 Apr 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Safar,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Pehchan,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Geet,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Humjoli,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.55 Cr
Bhai Bhai,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Johny Mera Naam,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Tum Haseen Main Jawan,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.45 Cr
Sharafat,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Kab Kyon Aur Kahan,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Gopi,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Kaun Ho Tum,01 Jan 1970,0 Cr N.A,0 Cr N.A,0.005 Cr,0.005 Cr
Ganwaar,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Sawan Bhadon,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Sachaa Jhutha,01 Jan 1970,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Bharat Ka Sanvidhan,01 Jan 1970,0 Cr N.A,0 Cr N.A,0.001 Cr,0.001 Cr
Andaz,01 Aug 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Maryada,16 Jul 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Mera Gaon Mera Desh,14 Jun 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Rakhwala,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Purab Aur Pashcim,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Naya Zamana,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Mela,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Guddi,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.78 Cr
Anand,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Sharmilee,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Aan Milo Sajna,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Haathi Mere Saathi,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Kal Aaj Aur Kal,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Kati Patang,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Main Sundar Hoon,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.82 Cr
Ek Nari Ek Brahmachari,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75 Cr
Mehboob Ki Mehndi,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.90 Cr
Mere Apne,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Caravan,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Paras,01 Jan 1971,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.80 Cr
Victoria No. 203,08 Dec 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Raja Jani,03 Nov 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5 Cr
Do Chor,24 Mar 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.82 Cr
Bombay To Goa,03 Mar 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Pakeezah,04 Feb 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Balidaan,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Shararat,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Samadhi,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.6 Cr
Shor,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.88 Cr
Mere Jeevan Saathi,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Dushmun,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Dastaan,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Jawani Diwani,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Apna Desh,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.1 Cr
Beimaan,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Amar Prem,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Apradh,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Rampur Ka Laxman,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Seeta Aur Geeta,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Shehzada,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Hare Rama Hare Krishna,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
Gora Aur Kala,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.2 Cr
Bhai Ho To Aisa,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Anuraag,01 Jan 1972,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9 Cr
Namak Haraam,23 Nov 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Aa Gale Lag Jaa,16 Nov 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Yaadon Ki Baaraat,03 Nov 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Saudagar,26 Oct 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0 Cr
Joshila,19 Oct 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.88 Cr
Bobby,29 Sep 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.5 Cr
Anhonee,26 Sep 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Jugnu,30 Aug 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.5 Cr
Abhimaan,27 Jul 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Zanjeer,11 May 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Dharma,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Pinjra,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9 Cr
Daag,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.25 Cr
Jheel Ke Us Paar,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2 Cr
Black Mail,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Heera,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Kuchhe Dhaage,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Kahani Kismat Ki,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5 Cr
Keemat,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Loafer,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Jaise Ko Taisa,01 Jan 1973,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Majboor,06 Dec 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.3 Cr
Roti,18 Oct 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Roti Kapada Aur Makaan,18 Oct 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.25 Cr
Benaam,18 Oct 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.85 Cr
Haath Ki Safai,30 Aug 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Kasauti,09 Aug 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Amir Garib,02 Aug 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.1 Cr
Sagina,26 Jul 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9 Cr
Prem Nagar,24 May 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Aap Ki Kasam,03 May 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.6 Cr
Dost,12 Apr 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5 Cr
Chor Machaye Shor,22 Mar 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Pocket Maar,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Patthar Aur Payal,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Bidaai,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.2 Cr
Manchali,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Pran Jaye Par Vachan Na Jaye,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4 Cr
Resham Ki Dori,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Geeta Mera Naam,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2 Cr
Ajnabee,01 Jan 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Dharam Karam,01 Dec 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Warrant,06 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Sanyasi,16 Oct 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.50 Cr
Rafoo Chakkar,01 Oct 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Kala Sona,18 Sep 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Sholay,15 Aug 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,15 Cr
Pratiggya,26 Jun 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Umar Qaid,13 Jun 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Jai Santoshi Maa,30 May 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,5 Cr
Chori Mera Kaam,02 May 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Julie,18 Apr 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4 Cr
Zameer,21 Mar 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1 Cr
Deewaar,24 Jan 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.25 Cr
Prem Kahani,01 Jan 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Do Thug,01 Jan 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Chupke Chupke,01 Jan 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Khel Khel Mein,30 Nov 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
Dharmatma,30 Nov 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Zakhmee,30 Nov 1974,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Bairaag,04 Oct 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Hera Pheri,03 Oct 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Fakira,06 Sep 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Charas,28 May 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Dus Numbri,12 Mar 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.50 Cr
Kalicharan,07 Feb 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Kabhi Kabhie,27 Jan 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Chhoti Si Baat,01 Jan 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Jaaneman,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.92 Cr
Shankar Dada,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Maha Chor,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.98 Cr
Chitchor,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.95 Cr
Aap Beeti,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Barood,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Sangram,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Do Anjane,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Laila Majnu,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.25 Cr
Maa,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Mehbooba,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Nagin,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Nehle Pe Dehla,30 Nov 1975,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.02 Cr
Parvarish,11 Nov 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.75 Cr
Hum Kisise Kum Naheen,25 Aug 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.25 Cr
Amar Akbar Anthony,07 May 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,7.25 Cr
Chandi Sona,25 Mar 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.05 Cr
Khoon Pasina,21 Jan 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Jadu Tona,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Inkaar,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Chhailla Babu,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.35 Cr
Adalat,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Immaan Dharam,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Apnapan,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Chacha Bhatija,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Khel Khilari Ka,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Dulhan Wohi Jo Piya Man Bhaye,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Dream Girl,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.45 Cr
Dildaar,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Chakkar Pe Chakkar,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.15 Cr
Aashiq Hoon Baharon Ka,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Dharam Veer,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,6.75 Cr
Maha Badmaash,30 Nov 1976,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.20 Cr
Daku Aur Jawan,29 Dec 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.90 Cr
Swarg Narak,21 Dec 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.50 Cr
Karmayogi,15 Dec 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.70 Cr
Muqaddar Ka Sikandar,27 Oct 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,8.50 Cr
Dil Aur Deewar,15 Sep 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
Azaad,01 Sep 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,3 Cr
Shalimar,12 Aug 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Satyam Shivam Sundaram,06 Aug 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Main Tulsi Tere Aangan Ki,04 Aug 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.75 Cr
Muqaddar,14 Jul 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.46 Cr
Des Pardes,29 Jun 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.55 Cr
Don,12 Jun 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.50 Cr
Trishul,04 May 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.50 Cr
Kasme Vaade,20 Apr 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.40 Cr
Ganga Ki Saugandh,10 Feb 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.30 Cr
Vishwanath,20 Jan 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Khoon Ki Pukar,01 Jan 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Be-Sharam,01 Jan 1978,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.35 Cr
Phandebaaz,30 Nov 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.10 Cr
Pati Patni Aur Woh,30 Nov 1977,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.80 Cr
Ahinsa,28 Dec 1979,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.30 Cr
Hum Tere Ashiq Hain,30 Nov 1979,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Suhaag,16 Nov 1979,0 Cr N.A,0 Cr N.A,0 Cr N.A,5 Cr
Dil Ka Heera,19 Oct 1979,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.60 Cr
